,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
4676,643,10/17/1994,1,54.0,ANCHORAGE,AK,99517.0,1181.0,1.0,Y,O,15.0,M,Y,,Y,,3,F,2.0,125000.0,S,200.0,N,1963.0,B,R,,,A,256462.0,N,,N,,1,1072.08,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,80.57
4849,25581,10/15/2001,2,58.0,WILLOW,AK,99688.0,312.0,0.0,,O,2.0,S,N,,,,1,F,2.0,15000.0,N,20.0,E,,,,,,,36380.0,N,,Y,882.8,1,640.19,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,95.47
5737,33405,02/09/2007,1,38.0,EAGLE RIVER,AK,99577.0,7922.0,1.0,1,O,9.0,A,Y,Y,,,3,M,2.0,125000.0,N,180.0,O,1986.0,B,R,2.0,,A,128554.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,178.9
5941,40823,09/04/1999,1,62.0,SOLDOTNA,AK,99669.0,7829.0,0.0,2,O,15.0,M,N,,,,2,F,2.0,87500.0,N,240.0,F,,B,R,1.0,,,73830.0,N,0.0,Y,28440.9,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,205.32
7583,29571,09/08/2004,1,30.0,EAGLE RIVER,AK,99577.0,8012.0,0.0,N,R,7.0,M,N,,,,1,M,3.0,25000.0,N,100.0,G,,B,R,1.0,,,6023.0,N,,N,,1,8813.61,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,521.82
8497,27239,02/28/2003,1,58.0,ANCHORAGE,AK,99501.0,4230.0,0.0,1,O,3.0,M,N,,,,3,M,5.0,125000.0,N,990.0,Q,1977.0,B,R,2.0,,A,416691.0,N,,N,,0,,N,,Y,61726.55,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,954.53
9234,17157,03/15/2006,1,63.0,NORTH POLE,AK,99705.0,956.0,0.0,Z,O,4.0,S,N,,,,2,M,1.0,35000.0,S,600.0,D,,B,R,,,,45148.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,46472.55,,0.0,N,,,,,,,,1769.28
9294,2546,08/28/1989,1,40.0,ANCHORAGE,AK,99503.0,6408.0,0.0,1,O,2.0,S,N,,,,3,M,1.0,62500.0,N,130.0,M,1971.0,B,R,,,A,44511.0,N,,N,,1,11044.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,N,,,,Y,,1876.62
