,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
4312,13081,11/12/2004,4,69.0,LAUREL,MD,20708.0,3218.0,1.0,7,O,15.0,M,Y,,Y,,1,M,2.0,62500.0,S,210.0,N,1986.0,B,R,2.0,,A,20547.0,Y,130134.56,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,54.87
4330,31031,10/19/2005,1,52.0,RISING SUN,MD,21911.0,88.0,0.0,,O,1.0,M,N,,,,1,F,2.0,25000.0,G,80.0,,,,,,,,0.0,N,,N,,1,1007.02,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,56.56
4508,24331,07/13/1995,1,54.0,LANHAM,MD,20706.0,2863.0,0.0,5,O,15.0,M,N,,,,1,M,2.0,87500.0,Z,510.0,M,1965.0,B,R,2.0,,A,65007.0,N,,N,,1,4538.74,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,68.07
4792,24183,11/12/1998,1,56.0,FT WASHINGTON,MD,20744.0,5755.0,0.0,1,O,15.0,M,N,,,,3,M,4.0,87500.0,U,210.0,M,1989.0,B,R,2.0,,A,81064.0,N,,N,,1,925.87,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,90.85
4896,11392,03/13/2004,1,52.0,PINTO,MD,21556.0,0.0,0.0,,O,11.0,S,N,,,,1,F,1.0,15000.0,N,0.0,,,,,,,,,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,8157.89,,0.0,N,,,,,,,,99.12
5329,29971,01/12/2005,1,32.0,CRUMPTON,MD,21628.0,397.0,1.0,,O,6.0,S,Y,,Y,,1,M,1.0,17500.0,N,0.0,E,,B,R,,,,162808.0,N,,N,,1,189.61,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,138.19
6486,33997,04/25/2007,1,,ELLICOTT CITY,MD,21043.0,6675.0,0.0,N,O,10.0,M,N,,,,1,M,2.0,125000.0,Z,0.0,K,1998.0,,,,Y,A,336878.0,N,,N,,0,,N,,Y,279037.2,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,283.17
7676,24421,05/21/1999,1,64.0,SYKESVILLE,MD,21784.0,6718.0,1.0,O,O,15.0,M,Y,,Y,,1,M,2.0,125000.0,N,180.0,G,1969.0,B,R,1.0,,A,76903.0,N,,N,,1,1460.71,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,552.94
7837,31518,02/15/2006,1,32.0,ROCKVILLE,MD,20852.0,1919.0,0.0,1,R,2.0,S,N,,,,3,F,1.0,62500.0,H,0.0,,,,,,,,58326.0,N,,N,,1,3453.06,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,611.68
8226,2697,05/14/1996,2,72.0,SILVER SPRING,MD,20906.0,3102.0,0.0,1,O,15.0,M,N,,,,3,M,2.0,62500.0,N,130.0,O,1969.0,B,R,2.0,,A,146350.0,N,,N,,1,1045.95,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,793.66
8346,28197,12/08/2003,1,42.0,COLUMBIA,MD,21045.0,4615.0,1.0,3,O,2.0,M,Y,,Y,,1,M,2.0,62500.0,J,260.0,N,1977.0,B,R,2.0,,A,66098.0,N,,N,,1,5630.87,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,870.37
8473,28644,10/15/2003,1,48.0,HYATTSVILLE,MD,20783.0,3402.0,0.0,1,O,14.0,S,N,,,,2,M,2.0,62500.0,Z,210.0,D,1964.0,B,R,1.0,,B,1338.0,N,,N,,0,,N,,Y,32957.98,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,944.63
8972,28815,05/14/2004,1,60.0,PARKTON,MD,21120.0,8913.0,0.0,2,O,7.0,M,N,,,,3,F,2.0,125000.0,H,160.0,K,2001.0,B,R,2.0,,A,287052.0,N,,N,,0,,N,,Y,110349.53,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1384.72
9168,24052,02/08/1989,1,38.0,ROCKVILLE,MD,20853.0,1635.0,0.0,N,O,4.0,M,N,,,,3,F,1.0,112500.0,S,0.0,R,1966.0,B,R,,,A,295678.0,N,,N,,1,2863.03,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,1650.67
9195,28414,06/13/2003,1,56.0,POTOMAC,MD,20854.0,5495.0,0.0,3,O,14.0,M,N,,,,3,F,2.0,125000.0,B,200.0,J,1992.0,,,1.0,,A,45020.0,N,,N,,0,,N,,Y,140328.17,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1700.73
9198,29650,09/10/2004,1,24.0,ELLICOTT CITY,MD,21042.0,6263.0,1.0,N,O,15.0,M,Y,,Y,Y,3,M,3.0,125000.0,U,270.0,Q,1988.0,B,R,2.0,,A,499442.0,N,,N,,0,,N,,Y,135403.04,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1703.64
9377,27669,06/06/2003,1,42.0,SYKESVILLE,MD,21784.0,6671.0,2.0,5,O,13.0,M,Y,,Y,,1,M,2.0,62500.0,N,580.0,P,1993.0,B,R,3.0,Y,A,103914.0,N,,N,,0,,N,,Y,142281.74,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2011.59
9463,29836,10/29/2004,1,54.0,GERMANTOWN,MD,20876.0,6306.0,2.0,N,O,3.0,B,Y,,Y,,1,M,1.0,112500.0,H,420.0,Q,1991.0,B,R,2.0,,A,95213.0,N,,N,,0,,N,,Y,159266.25,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2204.49
9543,2987,12/09/1994,2,55.0,CAMBRIDGE,MD,21613.0,2446.0,0.0,Y,O,15.0,M,N,,,,1,F,2.0,45000.0,S,0.0,D,,B,R,,,,342.0,N,,N,,1,25508.36,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,2413.77
9629,42573,10/28/1973,8,65.0,MONKTON,MD,21111.0,2007.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,125000.0,N,160.0,A,,B,R,1.0,,A,399671.0,N,,Y,1401.84,0,0.0,Y,1241.78,N,0.0,Y,140895.68,N,0.0,,0.0,,0.0,N,,,,,,,Y,2668.69
9696,32866,10/11/2006,1,46.0,CALIFORNIA,MD,20619.0,6161.0,0.0,O,R,2.0,S,N,,,,1,F,1.0,62500.0,N,340.0,,,B,R,1.0,,,,N,,N,,0,,N,,Y,370155.71,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2953.86
9912,30918,08/23/2005,1,32.0,PERRY HALL,MD,21128.0,9434.0,3.0,N,O,4.0,M,Y,Y,,,1,M,2.0,87500.0,G,190.0,R,2002.0,B,R,,,A,73484.0,N,,N,,0,,N,,Y,348214.43,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,4419.17
9993,32008,03/09/2006,1,52.0,FT WASHINGTON,MD,20744.0,1510.0,1.0,O,O,1.0,B,Y,Y,,,1,M,1.0,87500.0,Z,0.0,N,1992.0,,,,,A,24610.0,N,,N,,0,,N,,Y,404172.23,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,11192.3
