,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1503,8537,12/07/2001,1,48.0,LITTLE ROCK,AR,72204.0,2570.0,0.0,O,R,3.0,B,N,,,,1,F,1.0,112500.0,G,0.0,S,,,,,,,776.0,N,,Y,279.09,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-29.47
1555,20498,02/06/2007,1,27.0,GREENBRIER,AR,72058.0,9623.0,0.0,5,O,6.0,S,N,,,,1,M,1.0,17500.0,N,0.0,A,,B,R,,,,85333.0,N,,Y,4.75,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-27.87
1789,21571,05/07/2007,2,69.0,SHIRLEY,AR,72153.0,5026.0,0.0,2,O,6.0,M,N,,,,1,M,2.0,25000.0,N,0.0,,,B,R,2.0,,,0.0,N,,Y,20.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-21.94
2020,3334,05/01/1966,1,78.0,MORRILTON,AR,72110.0,9288.0,0.0,P,O,13.0,B,N,,,,1,M,1.0,15000.0,N,0.0,,,,,,,,6560.0,N,,N,,1,604.28,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-16.23
2083,22006,06/13/2007,1,54.0,REDFIELD,AR,72132.0,9546.0,0.0,P,,3.0,B,N,,,,0,F,1.0,,,0.0,,,B,R,,,,1068.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,22441.0,N,,,,,,,,-15.22
2121,14020,03/24/2005,1,37.0,HOT SPRINGS,AR,71913.0,5104.0,0.0,P,R,0.0,B,N,,,,1,U,1.0,15000.0,N,0.0,,,,,,,,2049.0,N,,Y,630.77,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,,Y,-14.79
2177,25901,02/19/2002,1,60.0,HARRISON,AR,72602.0,2266.0,0.0,D,O,13.0,M,N,,,,1,M,3.0,35000.0,N,0.0,,,B,R,,,,160726.0,N,,N,,1,148.49,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-13.6
2180,39705,09/13/1978,2,71.0,NORTH LITTLE RO,AR,72114.0,0.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,,Y,10460.85,Y,7186.18,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-13.59
2209,20640,02/16/2007,1,18.0,SHERWOOD,AR,72120.0,3145.0,0.0,O,R,3.0,M,N,,,,1,U,1.0,87500.0,N,0.0,D,1973.0,,,,,A,4340.0,N,,Y,547.18,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-12.94
2250,2040,01/01/1979,1,82.0,GRAVETTE,AR,72736.0,9444.0,0.0,7,O,14.0,M,N,,,,3,F,2.0,62500.0,N,0.0,,,B,R,,,,148159.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-11.84
2261,44022,03/07/2000,1,66.0,LITTLE ROCK,AR,72204.0,4641.0,0.0,1,R,8.0,B,N,,,Y,1,F,1.0,35000.0,Z,0.0,B,1964.0,,,,,A,550.0,N,,N,,0,,Y,189.92,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-11.53
2279,40400,02/22/2002,2,32.0,MAUMELLE,AR,72113.0,6587.0,0.0,C,O,3.0,S,N,,,,1,F,1.0,62500.0,S,0.0,H,1996.0,B,R,2.0,,A,35657.0,N,,Y,3571.17,0,,Y,3352.17,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,-11.18
2298,12287,07/24/2004,1,48.0,CONWAY,AR,72032.0,9597.0,0.0,P,O,14.0,S,N,,,,1,F,2.0,62500.0,N,0.0,D,,B,R,,,,11005.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,761.9,N,,,,,,,,-10.84
2339,30144,03/08/2005,1,42.0,FAYETTEVILLE,AR,72703.0,4784.0,,O,,0.0,,,,,,0,,,,G,0.0,,,,,,,,100529.0,N,,N,,1,923.46,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-10.14
2395,19752,11/24/2006,2,66.0,HOT SPRINGS,AR,71909.0,3719.0,0.0,P,O,0.0,A,N,,,,1,M,2.0,35000.0,N,0.0,G,,B,R,,,,159110.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-8.83
