,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
6434,6160,12/31/1999,1,33.0,PLEASANT GRV,UT,84062.0,2925.0,1.0,2,O,2.0,M,Y,Y,,,4,M,2.0,42000.0,S,300.0,F,1977.0,,,,,E,6706.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,275.57
6791,18644,08/07/2006,3,18.0,WOODS CROSS,UT,84087.0,2238.0,1.0,O,O,0.0,M,Y,Y,,,1,M,2.0,20799.96,N,180.0,H,2002.0,,,2.0,,A,1352.0,N,,Y,141.89,0,,Y,7672.7,N,0.0,N,0.0,N,0.0,,0.0,Y,2654.66,N,,Y,Y,N,,Y,Y,338.83
6989,4657,09/10/1985,1,50.0,BOUNTIFUL,UT,84010.0,1218.0,2.0,E,O,15.0,M,Y,Y,Y,,1,F,2.0,125000.0,S,50.0,L,1978.0,B,R,1.0,,A,84876.0,N,,N,,1,1094.15,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,376.18
7054,15491,08/31/2005,1,30.0,SALT LAKE CTY,UT,84116.0,4126.0,0.0,O,O,5.0,M,N,,,,1,M,2.0,87500.0,S,170.0,,,B,R,1.0,,,21113.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,11922.1,N,,,,,,,,389.61
7096,7653,08/20/2001,2,28.0,WOODS CROSS,UT,84087.0,2434.0,1.0,P,O,1.0,B,Y,Y,,,1,M,2.0,46620.96,N,500.0,H,,,,1.0,,,4312.0,N,,Y,1900.37,0,,Y,0.01,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,397.68
7288,16806,02/02/2006,1,40.0,SALT LAKE CTY,UT,84104.0,3331.0,1.0,5,O,2.0,M,Y,,Y,,1,M,2.0,45000.0,N,160.0,E,1951.0,B,R,1.0,Y,A,5086.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,12317.19,N,,,,,,,,442.09
7319,14396,05/13/2005,2,28.0,FARMINGTON,UT,84025.0,2804.0,1.0,P,O,1.0,M,Y,Y,,,1,M,2.0,60999.96,N,170.0,D,1986.0,B,R,1.0,,A,49355.0,N,,Y,60.0,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,451.74
7818,45680,01/01/1978,2,60.0,SALT LAKE CTY,UT,84105.0,1449.0,0.0,8,O,15.0,M,N,,,,1,M,2.0,112500.0,G,10.0,K,1908.0,B,R,1.0,,A,29663.0,N,,Y,45209.81,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,N,,,,Y,603.38
7844,23106,09/06/1994,1,36.0,SALT LAKE CTY,UT,84123.0,3414.0,1.0,P,O,12.0,S,Y,Y,,,1,F,1.0,19999.92,N,70.0,,,,,1.0,,,14249.0,N,,N,,1,2566.63,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,Y,613.4
7983,32881,10/25/2006,1,34.0,PROVO,UT,84604.0,3015.0,1.0,5,O,4.0,M,Y,,Y,,1,M,4.0,112500.0,N,750.0,G,1967.0,B,R,2.0,,A,68600.0,N,,N,,1,6687.97,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,670.81
