ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
38177,02/24/1995,1,44,PURCELL,MO,64857,0379,1,1,O,11,S,Y,,Y,,1,M,1,15000,N,10,,,B,R,1,,,70,N,,N,,0,,N,,Y,55327.02,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-446.8
1121,05/01/1969,2,72,OMAHA,NE,68144,2910,1,1,O,15,M,Y,,Y,,3,M,3,125000,N,350,E,,B,R,3,,,76871,N,0,Y,2281.85,1,82.7,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-403.68
7589,03/13/2002,1,56,ALBUQUERQUE,NM,87114,3497,1,O,O,1,M,Y,,Y,,1,M,2,112500,H,0,F,,,,,,A,62974,N,,N,,0,,N,,N,0,N,0,N,0,Y,12741.64,,0,N,,NA,NA,NA,NA,NA,NA,-380.54
45859,03/14/1995,4,29,SEATTLE,WA,98144,3006,0,O,O,1,M,N,,,,3,M,3,152004,G,0,O,1926,B,R,,,A,165914,N,,Y,4595.51,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-365.44
4727,08/08/1990,1,60,BROOKFIELD,CT,06804,0215,0,,O,9,M,N,,,,1,M,1,30000,N,0,M,,,,,,,0,N,,N,,1,13054.83,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-348.53
42370,03/05/2001,7,32,DAYTON,OH,45415,1803,1,O,O,2,M,Y,Y,,,1,M,2,112500,N,180,F,1981,B,R,3,,A,8687,N,,Y,2317.62,0,,Y,785,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,Y,Y,-343.41
8695,12/13/2002,11,53,EVERETT,WA,98208,7517,0,O,O,15,M,N,,,,1,M,2,62500,N,0,M,1982,B,R,,,A,40139,N,,Y,323.29,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,N,NA,Y,-338.24
39355,10/04/1990,2,65,MILWAUKEE,WI,53213,3577,0,Z,R,5,S,N,,,,2,M,1,35000,G,0,,,B,R,,,,3445,N,,Y,362.46,0,0,N,,N,0,N,0,N,0,Y,3002.21,,0,Y,0,NA,Y,N,NA,NA,Y,-323.23
9421,04/25/2003,2,31,NEW ALBANY,IN,47150,1832,1,5,O,3,M,Y,,Y,Y,1,M,3,43999.92,N,260,A,1993,B,R,2,,A,47093,N,,Y,325.11,0,,Y,20.93,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-319.39
32251,07/06/2006,1,38,KENNESAW,GA,30152,2518,1,O,O,7,M,Y,,Y,,1,M,2,45000,O,0,G,1992,B,R,,,A,22307,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,Y,NA,-297.54
