ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
56,3/6/81,2,77,CHEYENNE,WY,82009,3335,0,7,O,5,M,N,,,,2,F,2,25000,N,0,G,,B,R,1,,,312219,N,,Y,1843.95,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,-66.64
60,1/1/84,6,44,WAYZATA,MN,55391,9359,1,Z,O,5,S,Y,Y,,,1,F,1,60000,S,210,Q,1960,B,R,2,,A,208439,N,,Y,1052.51,0,,Y,1226.13,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,NA,Y,392.53
64,11/2/94,1,48,FISHKILL,NY,12524,1413,0,O,O,7,B,N,,,,1,M,1,45000,N,0,,,,,,,,49050,N,,N,,1,216.83,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,69.83
65,1/9/95,2,62,STILLWATER,MN,55082,1510,0,8,O,10,M,N,,,,1,M,2,99999.96,F,110,A,,B,R,1,,A,94678,N,,N,,1,5338.76,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,447.31
69,8/1/74,3,60,LA CROSSE,WI,54601,2104,0,1,O,15,M,N,,,,2,M,2,35000,N,310,H,,B,R,1,,A,43547,N,,Y,4431,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,45.15
73,1/1/75,2,57,GOLD RIVER,CA,95670,7600,0,Z,O,3,M,N,,,,3,M,2,125000,N,0,Q,1991,B,R,,Y,A,1212737,N,,Y,318.2,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-71.6
79,7/2/90,2,40,CHEYENNE,WY,82001,5496,0,P,O,6,B,N,,,,1,M,1,35000,N,90,I,1943,B,R,,,A,573,N,,Y,1746.37,0,,Y,138.98,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,20.08
82,1/1/78,3,59,MELROSE,MN,56352,1002,0,4,O,15,M,N,,,,1,M,3,45000,G,300,D,,B,R,2,,,33049,Y,12258.56,Y,2066.63,0,,Y,11004.67,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,289.54
85,2/8/60,2,77,SAINT PAUL,MN,55118,1727,0,Z,O,14,M,N,,,,1,M,2,62500,N,120,Q,1968,B,R,,,A,582050,N,,Y,1042.18,0,,Y,170.87,N,0,N,0,N,0,,0,,0,N,,NA,Y,NA,NA,NA,Y,12.78
88,10/12/95,1,84,NORTHVILLE,MI,48167,3310,0,2,O,9,M,N,,,,2,M,2,45000,N,0,G,1981,B,R,,,B,231295,N,,N,,1,2786.39,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,24.33
