ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
12869,10/12/04,1,77,CEDAR HILL,TN,37032,4919,0,P,O,15,A,N,,,,1,M,2,35000,N,90,E,,,,,,,35676,Y,100000,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,103.16
12874,1/11/79,1,71,ADAMS,TN,37010,9004,0,8,O,10,M,N,,,,1,M,2,17500,H,30,G,1995,B,R,1,,A,12011,N,,Y,5472.98,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,140.04
12875,10/13/04,2,30,VALLEY,NE,68064,1649,2,P,O,3,S,Y,Y,,,1,F,3,24000,N,80,,,,,1,,,2356,N,,Y,0,0,,Y,0.05,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,2638.61
12876,10/6/04,2,35,KUNA,ID,83634,3350,1,1,R,2,M,Y,Y,,,3,M,3,112500,N,200,D,,B,R,2,,,11162,N,,Y,-135.11,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,143.75
12878,10/13/04,3,22,DALY CITY,CA,94015,2854,0,2,O,15,M,N,,,,1,M,2,87500,G,0,K,1973,B,R,2,,A,121766,N,,Y,33.69,1,2161.87,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,742.23
12879,9/21/04,5,32,BAYARD,NE,69334,8003,2,1,O,2,M,Y,Y,,,2,M,2,78000,S,150,,,,,,,,1546,N,,Y,10.2,1,160,N,,N,0,Y,9974.42,N,0,,0,,0,N,,NA,NA,NA,NA,Y,Y,737.54
12887,10/14/04,1,9,LOS ANGELES,CA,90049,1816,1,O,O,3,M,Y,,Y,,3,M,2,125000,I,0,S,1976,,,,Y,A,1382225,N,,N,,0,,Y,575.24,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,0.05
12889,10/15/04,1,78,DUBLIN 13 IRELA,WI,00013,0000,,,,0,,,,,,0,,,,,0,,,,,,,,,N,,Y,4952.34,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,160.61
12899,10/15/04,2,27,AMELIA,OH,45102,1114,0,O,O,0,M,N,,,,1,M,1,45000,S,30,E,1958,B,R,,,A,4356,N,,Y,3521.89,1,6680.63,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-245.29
12908,10/18/04,1,48,ARVADA,CO,80003,6804,0,5,O,11,M,N,,,,1,M,4,15000,I,20,H,1964,B,R,1,,A,10071,N,,Y,0.15,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,460.92
12909,10/18/04,1,63,CLEVELAND,OH,44109,2808,0,O,O,2,B,N,,,,1,F,1,19999.92,O,0,A,1924,,,,,E,53,N,,Y,6.93,0,,N,,N,0,N,0,N,0,,0,,0,N,,N,NA,N,N,NA,Y,-13.1
12918,10/18/04,2,19,TIGARD,OR,97224,3632,1,4,O,15,M,Y,,Y,,1,M,2,16699.92,U,30,,,B,R,1,,,17016,N,,Y,838.38,1,483.99,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,1211.71
12923,10/12/04,1,48,MEAD,WA,99021,9629,0,P,O,5,S,N,,,,1,M,2,17500,N,0,A,1958,,,,,M,12786,N,,Y,3,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-30.23
12929,10/21/04,1,4,YACOLT,WA,98675,4857,0,P,O,2,B,N,,,,1,M,1,62500,N,0,,,B,R,,,,638058,N,,N,,0,,Y,114.16,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-9.28
12945,10/25/04,1,36,VALLEJO,CA,94590,7756,0,1,O,10,S,N,,,,2,M,1,62400,Z,0,F,,,,,,,1249,N,,Y,229.12,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,Y,Y,Y,Y,319.77
12949,7/6/82,2,70,FRANKLIN,OH,45005,3972,1,C,O,13,M,Y,,Y,,1,M,3,13800,S,310,D,1950,B,R,2,Y,A,2228,N,,Y,2509.14,1,545.25,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,N,Y,Y,116.47
12950,10/25/04,7,24,HOLLADAY,UT,84117,5336,0,P,R,3,B,N,,,,1,F,1,20799.96,U,20,,,,,1,,,67513,N,,Y,743.52,0,0,Y,0.08,N,0,N,0,N,0,,0,Y,10089.69,Y,0,Y,Y,NA,Y,Y,Y,-97.5
12955,10/26/04,1,31,LAS VEGAS,NV,89183,7122,1,,O,2,S,Y,Y,,,1,M,2,35000,N,0,H,,,R,,,,364398,N,,Y,3999.42,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,Y,N,1386.15
12972,2/25/91,4,32,WINDSOR,CO,80550,8400,0,O,O,1,S,N,,,,1,M,2,112500,N,90,Q,2005,B,R,,,E,91704,N,,Y,4800.9,0,,Y,5009.87,N,0,Y,49153.6,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,1098.08
12982,10/29/04,1,29,CPE GIRARDEAU,MO,63701,2546,1,O,O,4,M,Y,,Y,,1,M,2,87500,N,430,E,,B,R,1,,,84797,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,15714.81,N,,NA,NA,NA,NA,NA,NA,473.75
12988,10/29/04,6,50,LADERA RANCH,CA,92694,0783,0,O,O,4,A,N,,,,1,M,2,91728,R,0,,,B,R,,,,46536,N,,Y,23.18,1,115.21,Y,22360.85,N,0,N,0,N,0,,0,Y,10497.77,Y,0,NA,N,NA,NA,NA,Y,727.75
12989,10/29/04,1,50,DENVER,CO,80239,2855,1,P,O,5,M,Y,,Y,,1,F,1,25000,H,0,G,1970,,,,,A,2597,N,,Y,116.44,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,NA,N,-57.96
12997,11/1/04,1,24,HAMILTON,OH,45011,3664,,Q,,0,,,,,,0,,,,H,0,B,1889,,,,,A,47,N,,Y,5.85,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-54.16
13001,3/31/04,2,37,PORTSMOUTH,OH,45662,2232,3,3,O,4,S,Y,Y,Y,,2,M,2,62500,F,200,A,,B,R,2,,,209839,N,,Y,221.55,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,Y,NA,NA,Y,Y,100.83
13005,11/2/04,2,59,TUCSON,AZ,85711,4607,0,1,O,0,M,N,,,,3,M,2,112500,H,360,H,1954,B,R,2,,A,58132,N,0,Y,268.14,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-149.34
13006,10/30/04,1,26,BONO,AR,72416,0253,0,,O,8,B,N,,,,1,M,1,17500,N,0,D,,,,,,,0,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,10892.34,N,,NA,NA,NA,NA,NA,NA,223.28
13010,11/2/04,2,44,NASHVILLE,TN,37203,7506,0,1,R,5,S,N,,,,2,M,1,35000,S,0,,,B,R,,,,71363,N,,Y,1406.31,0,,Y,2570.03,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-181
13012,11/2/04,2,35,COLORADO SPGS,CO,80923,3468,1,,O,1,A,Y,,Y,,1,M,2,72000,N,220,I,2002,B,R,,,A,1174,N,,Y,7.12,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-5.02
13017,11/3/04,1,13,LONE TREE,CO,80124,3038,2,O,O,15,S,Y,,Y,,3,M,2,125000,N,200,Q,1984,B,R,,,A,252922,N,,N,,0,,Y,710.1,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-1.21
13026,11/1/04,1,54,KANKAKEE,IL,60901,7352,0,1,O,15,M,N,,,,3,M,3,45000,Z,0,D,,B,R,2,,,104058,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,10326.72,N,,NA,NA,NA,NA,NA,NA,172.62
13027,10/29/04,1,47,NORTH AURORA,IL,60542,1457,1,4,O,8,M,Y,,Y,,1,M,2,62500,F,0,E,,,,,,,11313,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,7845.98,N,,NA,NA,NA,NA,NA,NA,313.02
13028,11/4/04,1,30,DES MOINES,IA,50317,4443,0,P,R,4,S,N,,,,1,U,1,15000,N,0,,,,,,,,19398,N,,Y,0.5,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-50.8
13030,11/4/04,3,30,BREMERTON,WA,98312,3925,,P,,0,,,,,,0,,,37200,N,0,C,1935,,,,,A,3406,N,,Y,412.62,0,,Y,1.01,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-14.98
13031,3/26/98,1,55,SANTA MONICA,CA,90402,2817,0,O,O,15,M,N,,,,3,M,2,125000,N,0,S,1995,B,R,1,,A,637709,N,,Y,25774.88,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,44.38
13032,11/4/04,3,45,EAGLE,ID,83616,3875,2,1,O,3,S,Y,Y,Y,,3,F,1,94999.92,N,120,,,B,R,,,,67825,N,,Y,14245.43,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,100.34
13034,11/4/04,1,33,FENTON,MO,63026,5036,1,2,O,8,M,Y,,Y,Y,2,M,3,62500,,110,E,1968,B,R,2,,A,48743,N,,Y,581.75,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-5.01
13043,10/25/04,1,32,SANTA ROSA,CA,95404,3824,0,O,O,6,A,N,,,,1,M,2,62500,S,0,Q,1926,B,R,,,A,47597,N,,N,,1,1780.51,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,23.5
13050,10/6/03,2,60,WHITTIER,CA,90601,4708,3,2,O,1,M,Y,Y,,,3,F,3,125000,D,0,R,1986,B,R,,,A,62226,N,,Y,245.95,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-55.37
13058,4/23/04,2,31,MANILA,AR,72442,9128,2,P,O,2,M,Y,Y,Y,,1,M,2,45000,J,0,,,B,R,2,Y,,11417,N,,N,,0,0,N,,N,0,Y,39795.06,N,0,,0,Y,19249.67,N,,NA,NA,NA,NA,NA,NA,1990.15
13062,11/9/04,1,35,PORTLAND,OR,97224,3205,0,O,R,2,B,N,,,,1,M,1,87500,H,0,,,,,,,,8493,N,,Y,4362.27,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,NA,Y,24.95
13076,11/10/04,2,39,CLAYTON,WA,99110,0000,,,,0,,,,,,0,,,,,0,,,,,,,,,N,,Y,377.56,0,0,N,,N,0,N,0,Y,78009.12,,0,,0,N,,NA,NA,NA,NA,NA,NA,1442.33
13078,11/12/04,3,91,KETTERING,OH,45429,5407,0,1,O,11,S,N,,,,3,F,2,112500,U,60,G,1954,B,R,1,,A,579794,N,,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,19.14
13079,11/12/04,2,58,KETTERING,OH,45440,2461,0,P,R,5,B,N,,,,1,F,1,35000,N,100,G,,,,,,,462,N,,Y,7.7,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-40.1
13081,11/12/04,4,69,LAUREL,MD,20708,3218,1,7,O,15,M,Y,,Y,,1,M,2,62500,S,210,N,1986,B,R,2,,A,20547,Y,130134.56,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,54.87
13084,11/12/04,1,42,,,00000,0000,,,,0,,,,,,0,,,,,0,,,,,,,,,N,,Y,94.57,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-50.57
13086,10/31/00,2,57,SOUTH JORDAN,UT,84095,5011,1,O,O,1,M,Y,,Y,,1,M,2,112500,N,440,M,2005,B,R,1,,E,16073,N,,Y,2320.23,0,,Y,85.45,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,724.1
13094,11/12/04,2,26,DES MOINES,IA,50310,3516,0,O,O,3,S,N,,,,1,M,1,52999.92,U,0,D,1923,,,,,A,49041,N,,Y,2287.45,0,,Y,867.94,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-198.28
13133,11/15/04,1,56,WEST YARMOUTH,MA,02673,3402,0,3,O,3,M,N,,,,3,M,2,125000,S,1470,I,2004,B,R,1,,A,20457,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,28366.64,N,,NA,NA,NA,NA,NA,NA,720.3
13134,11/19/04,2,51,CASSTOWN,OH,45312,0185,0,,O,13,B,N,,,,1,M,1,45000,S,0,,,,,,,,25600,N,,Y,70.01,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,Y,NA,NA,NA,Y,-68.27
13135,11/19/04,1,2,NAPERVILLE,IL,60563,3148,,O,,0,,,,,,0,,,,S,0,L,,,,,,A,229490,N,,N,,0,,Y,751.49,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,6.25
13137,11/17/04,1,57,MOUNT IDA,AR,71957,9700,0,Q,O,3,M,N,,,,1,M,2,17500,N,0,,,B,R,,,,4286,N,,N,,0,,N,,N,0,N,0,N,0,Y,54322.72,,0,N,,NA,NA,NA,NA,NA,NA,563.51
13146,11/22/04,3,24,SIMI VALLEY,CA,93065,4765,1,O,O,1,M,Y,,Y,,1,M,3,45759.96,H,0,O,1961,,,,,A,34685,N,,Y,66.91,1,0,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,241.27
13148,11/22/04,1,24,COOKEVILLE,TN,38501,1610,,P,,0,,,,,,0,,,,H,0,B,1952,,,,,A,74632,N,,Y,0.38,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,N,NA,NA,NA,Y,-38.89
13150,11/22/04,1,14,SAINT JOSEPH,MO,64506,2441,0,O,R,6,M,N,,,,1,M,2,87500,N,0,E,,,,,,,11649,N,0,N,,0,,Y,0,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,Y,Y,-10.61
13152,11/22/04,2,27,DENVER,CO,80203,4720,0,N,O,5,S,N,,,,1,M,1,18999.96,U,10,,,B,R,1,,,1744,N,,Y,402.6,1,1906.39,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-151.09
13158,11/22/04,2,29,GLENDALE,AZ,85306,4929,,O,,0,,,,,,0,,,15600,H,0,,,,,,,,15528,N,,Y,556.99,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,326.32
13161,12/28/98,1,29,ELMWOOD PARK,IL,60707,1553,0,P,O,0,B,N,,,,1,U,1,62500,N,0,,,,,,,,182048,N,,N,,1,12808.42,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,422
13163,11/23/04,3,49,BETHEL,OH,45106,8653,1,Q,O,15,M,Y,,Y,,1,M,4,24999.96,N,500,E,,B,R,3,,,19425,N,,Y,2346.16,0,,N,,N,0,N,0,N,0,Y,3300.72,,0,N,,NA,NA,NA,NA,NA,NA,47.91
13174,11/24/04,5,49,DELAFIELD,WI,53018,1328,0,1,O,14,M,N,,,Y,1,M,2,125000,S,100,M,,B,R,,,A,62374,N,,Y,3160.46,0,,N,,N,0,Y,2600,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,298.53
13180,11/17/04,1,41,OTISVILLE,NY,10963,2912,1,O,O,4,A,Y,Y,,,1,M,2,87500,J,460,O,2002,B,R,1,,A,31677,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,23217.45,N,,NA,NA,NA,NA,NA,NA,463.73
13185,11/26/04,2,60,CINCINNATI,OH,45247,7432,0,8,O,5,M,N,,,,1,M,2,35000,N,140,F,1941,B,R,2,,A,301829,N,,N,,1,2017.18,N,,N,0,N,0,N,0,Y,761.66,,0,N,,NA,NA,NA,NA,NA,Y,76.48
13194,11/10/04,1,70,SUN PRAIRIE,WI,53590,1304,1,O,O,7,B,Y,,Y,,1,M,1,17500,N,320,E,,B,R,3,,,2506,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,14728.63,N,,NA,NA,NA,NA,NA,NA,337.27
13208,12/1/04,1,44,PIKETON,OH,45661,9624,1,P,O,10,M,Y,,Y,,1,M,2,17500,S,230,,,B,R,3,Y,,5950,N,,Y,850.48,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-106.78
13211,12/1/04,2,55,ASHTABULA,OH,44004,6302,0,5,O,15,M,N,,,,1,M,2,9999.96,S,160,B,,B,R,2,Y,,1014,N,,Y,1918.52,0,,Y,333.29,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,-136.03
13214,11/27/04,1,45,SOUTH EUCLID,OH,44121,2720,1,2,O,4,M,Y,Y,,,1,M,3,125000,N,300,F,1954,B,R,2,,A,26082,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,9948.44,N,,NA,NA,NA,NA,NA,NA,375.18
13217,12/1/04,1,23,MESA,AZ,85210,3579,2,4,R,2,M,Y,Y,,,1,M,2,45799.92,U,110,,,,,,,,1256,N,,Y,-695.13,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,1222.72
13218,12/1/04,5,29,SAINT LOUIS,MO,63129,1819,0,P,O,3,S,N,,,,1,M,2,39399.96,N,250,C,1978,B,R,,,A,15519,N,,Y,765.65,1,251.71,N,,N,0,N,0,Y,14061.21,,0,,0,N,,Y,Y,NA,Y,Y,Y,274.46
13219,11/29/04,1,54,DES MOINES,IA,50309,4528,1,1,O,15,M,Y,,Y,,3,M,2,125000,U,540,,,B,R,2,,,0,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,2339.41,N,,NA,NA,NA,NA,NA,NA,62.76
13225,11/5/03,1,35,KIRKSEY,KY,42054,9053,1,P,O,4,S,Y,Y,,,1,M,2,62500,N,150,D,,B,R,1,,,870,N,,Y,244.87,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,58.25
13235,12/3/04,1,27,BEAVERTON,OR,97008,8341,,O,,0,,,,,,0,,,,H,0,,,,,,,,9638,N,,Y,393.79,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,8.91
13241,11/27/04,1,42,CONROE,TX,77302,6964,1,P,O,1,M,Y,,Y,,1,M,2,62500,S,210,C,,,,2,,M,2747,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,17595.24,N,,NA,NA,NA,NA,NA,NA,313.04
13243,11/29/04,1,43,POWELL,OH,43065,7646,1,N,O,0,A,Y,,Y,,3,M,2,125000,B,340,R,1991,B,R,1,,A,243467,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,14659.42,N,,NA,NA,NA,NA,NA,NA,733.21
13245,10/18/04,1,32,ALAMOSA,CO,81101,2358,0,N,O,7,A,N,,,,1,M,2,25000,I,260,C,,B,R,2,,,184315,N,,N,,1,1881.55,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,690.7
13270,12/10/04,3,36,LINCOLN,NE,68521,4507,0,5,R,4,S,N,,,,1,M,1,34999.92,S,0,,,B,R,,,,2460,N,,Y,738.79,0,,Y,128.19,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,-185.1
13276,12/10/04,2,50,OTTUMWA,IA,52501,2215,1,P,R,1,B,Y,,Y,,1,M,1,90000,S,70,,,,,1,,,2076,N,,Y,817.01,0,,Y,64.65,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,1145.55
13288,12/13/04,1,20,WHITTIER,CA,90604,4208,,P,,0,,,,,,0,,,,H,0,I,,,,,,,11582,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,304.29
13307,12/11/04,1,63,WHITE BEAR LK,MN,55110,5515,0,5,O,15,M,N,,,,1,M,3,45000,U,320,H,1961,B,R,2,,A,41293,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,4743.71,N,,NA,NA,NA,NA,NA,NA,81.52
13315,12/28/94,1,35,IOWA CITY,IA,52245,4637,1,2,O,0,M,Y,,Y,,1,M,2,62500,N,100,,,B,R,1,,,88056,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,47.68
13316,12/20/04,2,68,DES MOINES,IA,50316,2411,0,P,O,15,M,N,,,,1,M,2,17500,Z,100,D,1909,B,R,1,,A,10298,N,,Y,1381,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-62.87
13324,12/16/04,1,71,SUPERIOR TWP,MI,48198,3637,0,O,O,3,M,N,,,,1,M,3,62500,N,310,G,,B,R,2,,A,54019,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,11284.96,N,,NA,NA,NA,NA,NA,NA,467
13330,1/11/92,3,20,RENO,NV,89502,4904,1,C,O,15,M,Y,,Y,Y,1,M,4,15000,N,0,K,1977,B,R,,,A,24979,N,,Y,205.17,1,696.38,Y,1515.59,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-7.4
13331,12/22/04,1,16,AUSTIN,MN,55912,3475,,P,,0,,,,,,0,,,,N,0,,,,,,,,,Y,7672.56,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-3.42
13336,12/22/04,3,63,BOTHELL,WA,98021,9263,0,O,O,2,B,N,,,,1,F,1,34999.92,N,0,A,1977,B,R,1,,M,23534,N,,Y,1603.66,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-128.29
13346,12/13/04,1,64,LAKE ST LOUIS,MO,63367,1984,0,7,R,4,M,N,,,,1,M,2,35000,N,170,,,B,R,,,,11203,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,4796.69,N,,NA,NA,NA,NA,NA,NA,187.8
13351,12/27/04,2,20,CENTENNIAL,CO,80111,4622,0,1,O,15,M,N,,,Y,3,M,4,19999.92,N,290,K,1974,B,R,2,,A,221425,N,,Y,79.93,1,495.46,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,N,Y,Y,327.82
13353,12/27/04,1,35,DAYTON,OH,45406,5922,1,O,O,2,S,Y,,Y,,1,M,1,36000,Z,140,C,1921,,,1,,A,10448,N,,Y,343.17,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,N,Y,Y,792.44
13359,12/18/04,1,52,OKLAHOMA CITY,OK,73132,3701,0,V,O,4,M,N,,,,3,M,2,87500,N,0,I,2002,B,R,,Y,A,8237,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,20024.3,N,,NA,NA,NA,NA,NA,NA,278.05
13360,12/28/04,1,12,GLENARM,IL,62536,6643,2,O,O,0,M,Y,Y,Y,,2,M,2,45000,N,0,,,B,R,,,,72136,N,,N,,0,,Y,1672.89,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,10.42
13367,12/28/04,1,9,SOUTH JORDAN,UT,84095,3418,2,W,O,7,M,Y,Y,,,3,M,3,125000,N,70,K,1991,B,R,,,A,35303,N,,N,,0,,Y,3691.84,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,33.05
13372,12/29/04,2,71,MOUNT ORAB,OH,45154,8785,0,1,O,3,M,N,,,,2,M,2,45000,N,0,,,B,R,,,,15494,N,,Y,663.78,1,3199.04,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-35.33
13388,12/23/04,1,33,ASHTABULA,OH,44004,9528,0,P,O,6,M,N,,,,1,M,2,15000,N,290,,,B,R,1,,,38110,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,7299.63,N,,NA,NA,NA,NA,NA,NA,138.98
13395,12/30/04,1,19,PLYMOUTH,MN,55447,2302,1,2,O,15,M,Y,,Y,Y,1,M,2,125000,N,320,Q,1985,B,R,2,,A,404815,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-66.91
13400,12/31/04,1,25,WARRENSBURG,MO,64093,7911,,O,,0,,,,,,0,,,,N,0,,,,,,,,137,N,,Y,7.16,0,480.42,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-78.95
13401,12/18/04,1,56,GILBERT,AZ,85296,9506,0,Z,O,15,M,N,,,,1,F,2,112500,G,0,H,1998,B,R,1,Y,A,93165,N,,N,,0,,N,,N,0,N,0,N,0,Y,106346.01,,0,N,,NA,NA,NA,NA,NA,NA,2086.11
13403,12/31/04,2,33,SAINT PAUL,MN,55102,2078,0,O,O,3,S,N,,,,1,F,1,35000,N,150,E,1918,B,R,,,A,3691,N,,Y,936.45,0,,Y,33184.52,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,607.24
13406,12/31/04,1,65,CLACKAMAS,OR,97015,5336,0,P,R,6,B,N,,,,1,M,2,45000,O,80,,,,,1,,,1632,N,,Y,766.55,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,-26.37
13407,12/31/04,4,17,LA GRANDE,OR,97850,5100,1,P,O,4,M,Y,,Y,Y,1,M,2,62500,N,430,D,,B,R,2,,,108580,Y,8425.81,Y,,0,,Y,568.66,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,370.22
13410,8/22/94,1,41,WAVERLY,OH,45690,9209,1,P,O,9,A,Y,,Y,,1,M,2,35000,G,60,,,B,R,2,,,9706,N,,N,,0,,Y,692.75,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-16.73
13411,3/12/01,3,24,MENOMONEE FLS,WI,53051,7229,,O,,0,,,,,,0,,,51999.96,N,0,,,,,,,,131223,N,,Y,2959.72,1,0,N,,N,0,N,0,N,0,,0,,0,N,,N,NA,NA,NA,Y,NA,6.09
13416,12/30/04,1,70,WOOSTER,OH,44691,8582,0,O,O,2,M,N,,,,1,M,2,125000,S,440,L,1996,B,R,,,A,90071,N,,N,,0,,N,,N,0,N,0,N,0,,0,Y,12084.21,N,,NA,NA,NA,NA,NA,NA,364.51
