,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
5098,25985,03/03/1998,2,50.0,OVERLAND PARK,KS,66213.0,2128.0,2.0,E,O,4.0,M,Y,Y,Y,,3,F,2.0,125000.0,H,0.0,J,,B,R,1.0,,,449999.0,N,,Y,6829.15,1,1467.34,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,116.13
5110,44000,07/14/1982,2,64.0,KANSAS CITY,KS,66110.0,328.0,0.0,,R,12.0,B,N,,,,1,M,1.0,45000.0,U,0.0,,,,,,,,4129.0,N,,Y,1540.56,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,117.21
5360,34150,05/04/2007,1,,DODGE CITY,KS,67801.0,2544.0,,O,,0.0,,,,,,0,,,,N,0.0,C,,,,,,,37092.0,N,,N,,0,,N,,Y,90105.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,141.14
5532,12399,08/10/2004,4,33.0,EDGERTON,KS,66021.0,2508.0,0.0,1,O,7.0,M,N,,,,2,M,2.0,87500.0,N,0.0,,,B,R,,,,12145.0,N,,Y,1384.12,0,,Y,507.21,N,0.0,Y,10898.1,N,0.0,,0.0,,0.0,N,,N,,,,Y,Y,156.51
5551,22829,11/10/1995,3,46.0,OVERLAND PARK,KS,66207.0,3690.0,0.0,O,O,9.0,M,N,,,,3,M,2.0,112500.0,N,0.0,I,,,,,,,341003.0,N,,Y,20499.0,1,8643.78,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,,,Y,Y,158.08
5557,14536,02/28/2002,2,66.0,TOPEKA,KS,66605.0,3023.0,0.0,O,O,5.0,S,N,,,,1,F,1.0,25000.0,N,0.0,,,,,,,,46398.0,N,,Y,70.28,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,4597.09,N,,,,,,,Y,158.4
5682,41852,01/06/1993,1,47.0,PRAIRIE VLG,KS,66208.0,2545.0,,O,,0.0,,,,,,0,,,,N,0.0,,,,,,,,72397.0,N,,N,,0,,Y,4943.71,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,172.72
5728,9520,02/04/2002,1,32.0,KANSAS CITY,KS,66109.0,1617.0,2.0,P,O,1.0,S,Y,Y,,Y,1,M,3.0,15000.0,N,0.0,,,,,1.0,,,11517.0,N,,Y,7100.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,178.36
5885,37352,03/12/1984,1,40.0,KANSAS CITY,KS,66117.0,175.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,7313.0,N,,Y,37.41,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,197.45
5949,38931,10/16/2000,2,50.0,LEAWOOD,KS,66209.0,1445.0,0.0,N,O,3.0,M,N,,,,3,M,2.0,157839.84,N,0.0,L,,B,R,,,,29329.0,N,,Y,2428.68,0,,Y,4250.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,206.04
5999,25568,09/27/2001,1,46.0,HURON,KS,66041.0,9713.0,1.0,P,O,9.0,S,Y,,Y,,1,F,2.0,35000.0,G,0.0,,,B,R,,,,52957.0,N,,N,,1,1799.29,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,211.7
6009,19795,11/29/2006,2,39.0,TOPEKA,KS,66606.0,1262.0,1.0,1,O,0.0,M,Y,Y,,,3,M,2.0,87500.0,F,0.0,D,,B,R,,,,21849.0,N,,Y,3682.26,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,212.13
6106,18203,06/27/2006,1,54.0,ASSARIA,KS,67416.0,8894.0,1.0,P,O,9.0,A,Y,Y,,,1,M,3.0,87500.0,N,0.0,,,B,R,,,,31478.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,7395.19,N,,,,,,,,224.68
6209,30076,02/16/2005,2,20.0,FT RILEY,KS,66442.0,0.0,,,,0.0,,,,,,0,,,54999.96,,0.0,,,,,,,,,N,,N,,1,5046.48,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,7813.45,N,,,,,,,,241.34
6246,41176,07/01/1974,2,56.0,LAWRENCE,KS,66044.0,2941.0,0.0,O,R,11.0,S,N,,,,1,M,1.0,15000.0,N,0.0,,,B,R,,,,1830.0,N,,Y,11772.55,0,,Y,1498.14,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,248.59
6449,43989,01/07/2002,1,58.0,KANSAS CITY,KS,66112.0,2049.0,1.0,P,O,11.0,M,Y,,Y,,1,M,3.0,125000.0,Z,0.0,E,,B,R,2.0,,,2870.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,496.25,N,,,,,,,,277.77
6557,41828,05/01/1996,2,47.0,TOPEKA,KS,66614.0,2929.0,0.0,5,R,4.0,S,N,,,,1,M,1.0,42999.96,U,0.0,,,,,,,,35786.0,N,,Y,1268.8,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,6033.22,N,,Y,Y,,Y,,Y,294.87
6586,1398,10/06/1986,2,54.0,OVERLAND PARK,KS,66209.0,2703.0,1.0,O,O,15.0,S,Y,,Y,Y,1,M,3.0,162499.92,N,0.0,L,,B,R,2.0,,,181053.0,N,,Y,122.64,0,0.0,N,,N,0.0,Y,21038.06,N,0.0,,0.0,,0.0,N,,,,,,Y,,299.38
6714,20340,01/23/2007,2,0.0,TOPEKA,KS,66609.0,1424.0,0.0,G,O,8.0,M,N,,,,1,F,2.0,17500.0,N,0.0,D,,B,R,,,,7272.0,N,,Y,38.55,1,3106.63,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,325.11
6734,43305,07/11/1997,3,36.0,OVERBROOK,KS,66524.0,212.0,4.0,,O,6.0,M,Y,Y,,,1,M,2.0,65400.0,N,0.0,C,,,,,,,18970.0,N,,Y,2165.6,0,,Y,0.9,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,328.79
6885,24804,05/24/2000,1,80.0,YATES CENTER,KS,66783.0,85.0,0.0,1,O,15.0,M,N,,,,1,M,2.0,62500.0,N,0.0,,,B,R,2.0,,,0.0,N,,N,,1,6261.77,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,356.13
6984,20248,01/12/2007,1,50.0,TOPEKA,KS,66606.0,1413.0,1.0,P,R,5.0,M,Y,,Y,Y,1,M,2.0,45000.0,Z,0.0,,,B,R,,,,75.0,N,,Y,694.56,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,375.62
6994,40371,08/28/2001,3,25.0,ROELAND PARK,KS,66205.0,2106.0,0.0,P,R,5.0,B,N,,,Y,1,F,1.0,15000.0,B,0.0,,,,,,,,29619.0,N,,Y,7906.46,0,,Y,1512.46,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,,Y,376.49
7020,15363,08/12/2005,2,58.0,SHAWNEE,KS,66216.0,4269.0,1.0,O,O,13.0,M,Y,,Y,,1,M,2.0,87500.0,U,0.0,,,B,R,,,,115451.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,11571.4,N,,,,,,,,383.47
7035,35021,02/22/1983,1,52.0,LEAWOOD,KS,66206.0,2342.0,1.0,N,O,13.0,B,Y,,Y,,1,M,2.0,125000.0,N,0.0,H,,B,R,,,,81294.0,N,,N,,0,,Y,39511.43,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,386.08
7327,40416,04/04/1997,1,36.0,OLATHE,KS,66062.0,7708.0,1.0,N,R,2.0,B,Y,,Y,,1,F,1.0,87500.0,S,0.0,,,B,R,,,,14128.0,N,,Y,16011.47,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,454.73
7332,17803,05/23/2006,2,63.0,BALDWIN CITY,KS,66006.0,7235.0,0.0,P,O,13.0,S,N,,,,1,M,2.0,33249.84,N,0.0,E,,B,R,,,,199551.0,N,,Y,6195.58,0,,N,,N,0.0,N,0.0,N,0.0,Y,23409.15,,0.0,N,,,,,,,,456.14
7435,16766,01/30/2006,2,19.0,LAWRENCE,KS,66044.0,5341.0,0.0,P,R,4.0,M,N,,,,1,M,2.0,62500.0,S,0.0,,,B,R,,,,4416.0,N,0.0,Y,575.33,0,3246.29,Y,-1.39,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,481.97
