,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
6076,9255,03/20/2003,1,38.0,GODWIN,NC,28344.0,8924.0,0.0,1,O,12.0,M,N,,,,1,M,2.0,125000.0,N,0.0,,,B,R,,,,17572.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,13483.19,N,,,,,,,,220.31
6307,1999,12/11/1984,1,48.0,CORNELIUS,NC,28031.0,5725.0,0.0,O,O,3.0,M,N,,,,1,M,2.0,62500.0,N,0.0,I,2003.0,B,R,,,A,10141.0,N,,N,,1,1377.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,257.48
6373,33227,12/29/2006,1,34.0,HOLLY SPRINGS,NC,27540.0,8261.0,1.0,O,O,0.0,M,Y,Y,,,1,F,2.0,87500.0,G,0.0,H,2005.0,B,R,,,A,159562.0,N,,N,,1,4762.22,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,266.67
6418,26380,07/02/2002,1,30.0,WILMINGTON,NC,28403.0,7418.0,0.0,1,R,2.0,S,N,,,,3,M,1.0,62500.0,U,0.0,,,,,,,,166156.0,N,,N,,1,198.35,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,273.46
6643,1567,12/19/1995,1,62.0,GASTONIA,NC,28054.0,6486.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,125000.0,N,0.0,I,1978.0,B,R,,,A,27555.0,N,,N,,1,671.18,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,311.99
7229,17051,03/02/2006,1,45.0,NEW BERN,NC,28560.0,5134.0,1.0,P,O,15.0,A,Y,,Y,,1,M,3.0,15000.0,N,0.0,,,B,R,,,,2362.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,23270.81,N,,,,,,,,427.58
7313,33490,02/15/2007,1,36.0,MARION,NC,28752.0,9358.0,1.0,P,O,1.0,M,Y,,Y,,1,M,2.0,62500.0,F,0.0,,,B,R,,,,3609.0,N,,N,,0,,N,,Y,74241.45,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,448.0
7563,28514,03/16/2004,1,50.0,CARY,NC,27518.0,6485.0,1.0,2,O,4.0,M,Y,,Y,,2,M,2.0,125000.0,N,0.0,Q,2002.0,B,R,,,A,133236.0,N,,N,,1,4135.85,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,516.34
7660,27764,07/28/2003,1,34.0,DURHAM,NC,27713.0,2179.0,0.0,O,O,6.0,S,N,,,,1,U,1.0,17500.0,U,0.0,,,,,,,,44273.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,N,Y,,547.72
7688,30728,07/29/2005,1,40.0,LEXINGTON,NC,27292.0,9180.0,1.0,P,O,4.0,M,Y,Y,,,1,M,1.0,35000.0,H,0.0,E,2005.0,,,,,A,2481.0,N,,N,,0,,N,,Y,41184.55,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,557.24
7762,35775,05/16/1997,1,54.0,ROCKY MOUNT,NC,27801.0,8585.0,1.0,H,O,9.0,M,Y,Y,,Y,1,M,3.0,62500.0,U,0.0,D,1993.0,B,R,2.0,,A,2383.0,N,,N,,0,,N,,Y,45693.82,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,587.78
