Date,Visite
2/19/15,68
2/20/15,81
2/21/15,36
2/22/15,52
2/23/15,88
2/24/15,98
2/25/15,91
2/26/15,86
2/27/15,76
2/28/15,54
3/1/15,39
3/2/15,79
3/3/15,75
3/4/15,83
3/5/15,76
3/6/15,73
3/7/15,35
3/8/15,52
3/9/15,58
3/10/15,77
3/11/15,82
3/12/15,82
3/13/15,62
3/14/15,41
3/15/15,48
3/16/15,65
3/17/15,80
3/18/15,77
3/19/15,87
3/20/15,71
3/21/15,38
3/22/15,35
3/23/15,79
3/24/15,87
3/25/15,89
3/26/15,87
3/27/15,57
3/28/15,42
3/29/15,40
3/30/15,71
3/31/15,82
4/1/15,83
4/2/15,82
4/3/15,65
4/4/15,49
4/5/15,59
4/6/15,74
4/7/15,74
4/8/15,84
4/9/15,79
4/10/15,72
4/11/15,48
4/12/15,36
4/13/15,81
4/14/15,98
4/15/15,79
4/16/15,71
4/17/15,79
4/18/15,47
4/19/15,50
4/20/15,81
4/21/15,88
4/22/15,96
4/23/15,80
4/24/15,88
4/25/15,32
4/26/15,46
4/27/15,82
4/28/15,101
4/29/15,80
4/30/15,69
5/1/15,41
5/2/15,40
5/3/15,48
5/4/15,90
5/5/15,104
5/6/15,91
5/7/15,114
5/8/15,110
5/9/15,66
5/10/15,59
5/11/15,100
5/12/15,100
5/13/15,96
5/14/15,92
5/15/15,99
5/16/15,53
5/17/15,62
5/18/15,66
5/19/15,119
5/20/15,107
5/21/15,93
5/22/15,102
5/23/15,46
5/24/15,49
5/25/15,99
5/26/15,117
5/27/15,110
5/28/15,107
5/29/15,100
5/30/15,42
5/31/15,42
6/1/15,107
6/2/15,101
6/3/15,109
6/4/15,102
6/5/15,125
6/6/15,61
6/7/15,52
6/8/15,97
6/9/15,108
6/10/15,96
6/11/15,100
6/12/15,96
6/13/15,46
6/14/15,47
6/15/15,80
6/16/15,96
6/17/15,115
6/18/15,121
6/19/15,114
6/20/15,44
6/21/15,43
6/22/15,111
6/23/15,92
6/24/15,102
6/25/15,99
6/26/15,93
6/27/15,42
6/28/15,48
6/29/15,91
6/30/15,127
7/1/15,96
7/2/15,109
7/3/15,81
7/4/15,37
7/5/15,44
7/6/15,113
7/7/15,127
7/8/15,140
7/9/15,127
7/10/15,97
7/11/15,44
7/12/15,36
7/13/15,84
7/14/15,92
7/15/15,90
7/16/15,110
7/17/15,88
7/18/15,44
7/19/15,44
7/20/15,93
7/21/15,100
7/22/15,96
7/23/15,101
7/24/15,82
7/25/15,51
7/26/15,42
7/27/15,107
7/28/15,99
7/29/15,79
7/30/15,117
7/31/15,103
8/1/15,46
8/2/15,36
8/3/15,104
8/4/15,120
8/5/15,101
8/6/15,97
8/7/15,82
8/8/15,43
8/9/15,47
8/10/15,95
8/11/15,137
8/12/15,134
8/13/15,106
8/14/15,84
8/15/15,52
8/16/15,50
8/17/15,106
8/18/15,132
8/19/15,98
8/20/15,97
8/21/15,109
8/22/15,64
8/23/15,44
8/24/15,103
8/25/15,113
8/26/15,111
8/27/15,107
8/28/15,95
8/29/15,50
8/30/15,53
8/31/15,124
9/1/15,136
9/2/15,136
9/3/15,144
9/4/15,97
9/5/15,59
9/6/15,62
9/7/15,100
9/8/15,132
9/9/15,123
9/10/15,103
9/11/15,86
9/12/15,46
9/13/15,48
9/14/15,102
9/15/15,132
9/16/15,112
9/17/15,125
9/18/15,111
9/19/15,51
9/20/15,59
9/21/15,116
9/22/15,118
9/23/15,146
9/24/15,127
9/25/15,109
9/26/15,55
9/27/15,40
9/28/15,89
9/29/15,99
9/30/15,107
10/1/15,105
10/2/15,74
10/3/15,39
10/4/15,33
10/5/15,113
10/6/15,114
10/7/15,102
10/8/15,116
10/9/15,105
10/10/15,60
10/11/15,70
10/12/15,119
10/13/15,120
10/14/15,126
10/15/15,138
10/16/15,115
10/17/15,84
10/18/15,66
10/19/15,132
10/20/15,148
10/21/15,114
10/22/15,120
10/23/15,122
10/24/15,59
10/25/15,65
10/26/15,129
10/27/15,133
10/28/15,151
10/29/15,141
10/30/15,158
10/31/15,68
11/1/15,66
11/2/15,171
11/3/15,166
11/4/15,171
11/5/15,160
11/6/15,138
11/7/15,64
11/8/15,40
11/9/15,107
11/10/15,138
